latitude,longitude,cluster
40.008858225806456,116.32158303225806,0
40.00907796938776,116.32152465306125,0
40.00784626666668,116.31883026666664,0
40.00890936,116.32185628,0
40.00893929629629,116.32149587037036,0
40.00885874418604,116.32233591279068,0
40.01172404368933,116.2969407184466,1
40.01097359550562,116.29690256179772,1
40.00977960784314,116.29658939215687,1
40.00651282051281,116.2961931965812,2
40.00975394936709,116.29681448101265,1
40.00675803636364,116.2966129818182,2
40.01029532835821,116.29727256716416,1
40.01111726168225,116.29689441121496,1
39.9968568,116.3262064,3
40.00456826086956,116.31236319565218,4
40.01128165217391,116.29676576811592,1
40.011369959420286,116.2969010115942,1
40.00620536170212,116.29716629787232,2
40.0068909787234,116.29592431914894,2
40.009117637500005,116.2968446375,1
40.00683312307692,116.29739407692308,2
40.00648621590909,116.29702259090908,2
40.010761444444455,116.29690319444444,1
40.01128380952381,116.29679088888884,1
39.97434611111112,116.332301,3
40.01142930313589,116.2968072578397,1
40.01007305714287,116.29701618571428,1
40.006456481481486,116.29647266666667,2
40.00758997701149,116.29688874712645,2
40.00702105263159,116.29753824210528,2
40.01133255555555,116.29662523076922,1
39.99556956,116.3264262,3
39.999701,116.32529086956522,0
39.99974400000001,116.32447181818182,0
40.00864509411765,116.32218021176472,0
40.00918262962964,116.3206685925926,0
40.00890589024391,116.32151470731708,0
40.00835485365854,116.32041960975609,0
40.00908557142857,116.32132246938777,0
40.0075464,116.31954884000002,0
39.99981835714285,116.3245755357143,0
40.00993764705883,116.322269,0
40.00744847058824,116.31984594117648,0
40.00875894117647,116.32144529411764,0
40.00880866666667,116.32112372727272,0
40.00901310526316,116.32147957894736,0
40.007442181818185,116.3200673939394,0
39.99999284615384,116.324199,0
40.00911691489362,116.32163378723406,0
40.00048535135136,116.32463416216216,0
40.00896757142856,116.3211716190476,0
40.0086919,116.32288642,0
40.00927424074074,116.32077272222224,0
39.9999346875,116.323789875,0
40.007296205128206,116.3207317179487,0
40.00778864,116.31977852,0
40.0077425632184,116.31941922988504,0
40.009778265625,116.3151076171875,0
