lat_centroid,lon_centroid,cluster_index,place_name,google_place_id,place_address,place_category,place_type,place_lat,place_lon,distance_to_centroid,time_of_arrival,time_of_day,day_of_week,har,category_id
40.00481714139265,116.32245624281668,0,清华大学-体育场,ChIJSdf0g59W8DURSfA-nJt6yPQ,"284C+3W5, Haidian District",leisure,stadium,40.00514099999999,116.322348,37.17292121572452,2009-03-10 05:23:21+08:00,19401,1,1,0
40.01073522895303,116.29686202190425,1,Yuanmingyuan Park,ChIJ09grWqdW8DURTB0kM62Vn_A,"Haidian District, Beijing",leisure,tourist_attraction,40.0080982,116.2982148,315.0476515729817,2008-11-04 08:09:13+08:00,29353,1,3,0
40.006750449712506,116.29680145768349,2,Yuanmingyuan Park,ChIJ09grWqdW8DURTB0kM62Vn_A,"Haidian District, Beijing",leisure,tourist_attraction,40.0080982,116.2982148,192.22212992038263,2008-11-04 10:04:33+08:00,36273,1,3,0
39.98016607559587,116.32399053821108,3,苏氏牛肉面,ChIJU5Th5lVR8DURGzfB3VMVAZY,"中关村双榆树, Haidian Qu, Beijing Shi",restaurants,restaurant,39.980906,116.323659,86.9903226006584,2009-02-17 17:18:13+08:00,62293,1,1,1
40.00434748957922,116.31211669279848,4,Yingying Kaixuan Fitness Center,ChIJqSfmAqNW8DURNR4Vq32ZRII,"Zhong Guan Cun Bei Da Jie, Haidian Qu",sport,gym,40.0039465,116.3154433,286.8312549366653,2008-03-28 21:19:41+08:00,76781,4,2,2
39.99704773250174,116.32222466152446,5,北京清饮饮食公司,ChIJt_AfTKZW8DURr6tpCd4PgYQ,"清华大学校内停车场, Haidian Qu, Beijing Shi",restaurants,restaurant,39.996943,116.321627,52.22624826587701,2009-02-24 17:00:33+08:00,61233,1,3,1
40.07866310706134,116.58822041479938,6,肯德基机场1店,ChIJS7B_veYF8TURTCkAuGLPGB0,"首都机场T1航站楼S302, Shunyi Qu, Beijing Shi",restaurants,restaurant,40.07906699999999,116.589563,122.74126526822964,2009-04-19 10:06:45+08:00,36405,6,2,1
39.99750894095778,116.27021723823653,7,Long Corridor,ChIJt9mwqtRQ8DURvdfRvRrKizQ,"X7XC+5P5, Haidian District",leisure,tourist_attraction,39.997877,116.271868,146.45197154770878,2008-11-06 15:33:26+08:00,56006,3,3,0
39.98956923962303,116.272298864017,8,藻鉴堂,ChIJk8MGzdtQ8DURos-Udd1oZUw,"X7PC+C97, Haidian District",leisure,tourist_attraction,39.986034,116.270907,410.597104659416,2009-01-17 09:38:34+08:00,34714,5,3,0
39.90928913761032,116.40516062754364,9,Dongyuan Theatrical Stage,ChIJaTtfn8dS8DUR6wxueiMYtQI,"菖蒲河沿内, Nan Wan Zi Hu Tong, Dongcheng Qu",leisure,movie_theater,39.909297,116.4050218,11.873307073892692,2009-04-04 20:09:19+08:00,72559,5,3,0
39.91402195126257,116.403157546516,10,华莱画廊,ChIJ75lGQ8RS8DURdGSQwuk_SAo,"东华门大街, Dongcheng Qu, Beijing Shi",leisure,museum,39.914903,116.403456,101.22105358385294,2009-04-04 20:25:24+08:00,73524,5,4,0
39.89824271687493,116.388151295743,11,Heping Wine House,ChIJuaNmmZtS8DUR3ms8Rqu2Be4,"Qian Men Xi He Yan Jie, Xicheng Qu",restaurants,bar,39.898831,116.38741,90.98355770781792,2008-12-08 12:21:42+08:00,44502,0,1,1
39.9419102121144,116.37496500054138,12,水色盛开,ChIJ-7_GDA9T8DURvPIwIeZ8ApY,"4 Hou Hai Xi Yan, Xicheng Qu",restaurants,bar,39.94256,116.37432,90.7975222603717,2009-04-05 15:40:38+08:00,56438,6,2,1
39.938944946683804,116.38358510102452,13,北京市西城区社区图书馆,ChIJFwNR1BpT8DURiI6WtyxNJpU,"柳荫街9号, Xicheng Qu, Beijing Shi",leisure,museum,39.939594,116.384194,88.90231931641515,2009-04-05 16:10:38+08:00,58238,6,4,0
39.93757315030032,116.38825309165168,14,Zhangbo Jupansu Former Residence Memorial Hall,ChIJZ7BRHxpT8DURaisJu4wu678,"26 Hou Hai Nan Yan, Shi Cha Hai, Xicheng Qu",leisure,museum,39.939339,116.389542,225.0118194315936,2009-04-05 14:00:27+08:00,50427,6,4,0
39.93242569902992,116.39017972298036,15,Beihai Park （North Gate 1）,ChIJRdGf-h5T8DURvme0rn0n_Cc,"Di An Men Xi Da Jie, Shi Cha Hai, Xicheng Qu",leisure,park,39.9332886,116.3914247,143.08975071754617,2008-04-26 19:49:24+08:00,71364,5,3,0
39.94446475666767,116.37551311342524,16,JJ迪厅,ChIJf_8W2gdT8DUR77Z2loSmDVg,"新街口北大街, Xicheng Qu, Beijing Shi",leisure,night_club,39.94388000000001,116.374305,121.79962183043487,2009-04-05 18:10:38+08:00,65438,6,1,0
39.93210533957406,116.38491004896852,17,Beihai Botanical Park,ChIJxaTIneJS8DURuKBPOjSB0eA,"文津街1号, Jiao Chang Hu Tong, Xicheng Qu",leisure,park,39.931703,116.385894,95.07988952768636,2009-03-14 12:49:27+08:00,46167,5,2,0
39.99849173350082,116.32169783552366,19,Tsinghua University Old Age Activity Center,ChIJuyzOn6dW8DUR4wzlmftDJOA,"X8WF+VCX, Haidian District",leisure,museum,39.997242,116.323618,214.62690523743407,2009-04-11 13:44:33+08:00,49473,5,3,0
39.99492597797345,116.32092738442978,20,清华大学二附中体育场,ChIJR5FEwadW8DUReLL3b55dUgw,"X8WF+97F, Haidian District",leisure,stadium,39.99594,116.323165,221.4657993556129,2009-04-30 13:52:11+08:00,49931,3,2,0
39.90770947348501,116.4723294313922,21,WILL'S Fitness,ChIJzeEClKut8TURD6xZjTkd6zE,"WF5C+2GX, Jianwai Street, Chaoyang",sport,gym,39.907611,116.471352,84.08644641682677,2009-01-17 20:55:28+08:00,75328,5,4,2
39.9517112743745,116.8016428071561,22,Huiniangjia,ChIJmyrVTlJ18TUR7Ep--UmxgNg,"Xue Yuan Da Jie, Sanhe Shi, Langfang Shi",restaurants,restaurant,39.951987,116.800835,75.37501906999476,2009-04-04 21:22:52+08:00,76972,5,1,1
39.94699079224053,116.78315726436225,23,韩氏蛋糕,ChIJn3zgOwig8TURX81eFanxyyA,燕郊海洋局北门西侧,restaurants,bakery,39.94791,116.78307,102.48172828338978,2009-04-04 15:29:58+08:00,55798,5,2,1
39.8630795632069,116.45665460072412,24,Chengtian Antique Cheng Art Gallery Club,ChIJLyQ7I4-y8TURcVIxV3q1auw,"十八里店, Lv Ying Da Jie, Chaoyang Qu",sport,gym,39.8641614,116.4598187,295.6374412759041,2009-04-19 10:21:36+08:00,37296,6,3,2
39.86380393803351,116.45427891644395,25,重庆小吃,ChIJY_XtJZCy8TUR9tsDUaEjpuE,"东三环南路, Chaoyang Qu, Beijing Shi",restaurants,cafe,39.86540600000001,116.454353,178.25359291153663,2009-04-19 10:37:00+08:00,38220,6,4,1
39.94560713967815,116.7949152377072,26,云画廊,ChIJM6vw3KoK8TURE_aAS4tCZ_0,"行宫西大街, Sanhe Shi, Langfang Shi",leisure,museum,39.947621,116.795543,230.2370350287337,2009-04-19 12:04:40+08:00,43480,6,3,0
